"Apply Coupon","Apply Coupon"
"Cannot apply the coupon code.","Cannot apply the coupon code."
"Checkout Coupon Code","Checkout Coupon Code"
"Coupon code is not valid.","Coupon code is not valid."
"Coupon code was applied.","Coupon code was applied."
"Coupon code was canceled.","Coupon code was canceled."
"Discount Code","Discount Code"
"Enable Unobtrusive Interface","Enable Unobtrusive Interface"
"General Settings","General Settings"
"I have a coupon code","I have a coupon code"
"Is Enabled","Is Enabled"
"Ok","Ok"
"Oops something went wrong","Oops something went wrong"
"Please Wait...","Please Wait..."
"Show Discount Amount in the Success Message","Show Discount Amount in the Success Message"
" (Your discount amount is %s. It has been applied to the cart.)"," (Your discount amount is %s. It has been applied to the cart.)"
